1,1,100
1,1,
2,6,
3,15,
4,28,
5,45,
6,66,
7,91,
8,120,
9,153,
10,190,
11,231,
12,276,
13,325,
14,378,
15,435,
16,496,
17,561,
18,630,
19,703,
20,780,
21,861,
22,946,
23,1035,
24,1128,
25,1225,
26,1326,
27,1431,
28,1540,
29,1653,
30,1770,
31,1891,
32,2016,
33,2145,
34,2278,
35,2415,
36,2556,
37,2701,
38,2850,
39,3003,
40,3160,
41,3321,
42,3486,
43,3655,
44,3828,
45,4005,
46,4186,
47,4371,
48,4560,
49,4753,
50,4950,
51,5151,
52,5356,
53,5565,
54,5778,
55,5995,
56,6216,
57,6441,
58,6670,
59,6903,
60,7140,
61,7381,
62,7626,
63,7875,
64,8128,
65,8385,
66,8646,
67,8911,
68,9180,
69,9453,
70,9730,
71,10011,
72,10296,
73,10585,
74,10878,
75,11175,
76,11476,
77,11781,
78,12090,
79,12403,
80,12720,
81,13041,
82,13366,
83,13695,
84,14028,
85,14365,
86,14706,
87,15051,
88,15400,
89,15753,
90,16110,
91,16471,
92,16836,
93,17205,
94,17578,
95,17955,
96,18336,
97,18721,
98,19110,
99,19503,
100,19900,
