9,6,214
0.281387,0.36391,0.804009,0.23676,0.643527,0.0917874,0.261152,0,0,1,0,0,0,0,0
0.260755,0.341353,0.772829,0.46729,0.545966,0.10628,0.255576,0,0,0,1,0,0,0,0
0.348551,0.475188,0.786192,0.320872,0.375235,0.0821256,0.311338,0.0349206,0,1,0,0,0,0,0
0.249342,0.57594,0,0.52648,0.652908,0,0.287175,0.498413,0.137255,0,0,0,0,0,1
0.346795,0.491729,0.532294,0.395639,0.4803,0,0.384758,0,0,0,0,0,0,1,0
0.440737,0.336842,0.0734967,0.380062,0.67167,0.020934,0.542751,0,0.54902,0,0,0,1,0,0
0.352502,0.497744,0.797327,0.336449,0.425891,0.0901771,0.266729,0,0,1,0,0,0,0,0
0.280948,0.297744,0.761693,0.283489,0.636023,0.0950081,0.298327,0,0,1,0,0,0,0,0
0.224759,0.341353,0.797327,0.389408,0.566604,0.0982287,0.242565,0,0,0,1,0,0,0,0
0.285777,0.372932,0.821826,0.311526,0.525328,0.0917874,0.259294,0,0,1,0,0,0,0,0
0.330992,0.369925,0.750557,0.277259,0.545966,0.0917874,0.315985,0,0.313725,1,0,0,0,0,0
0.29324,0.294737,0.788419,0.327103,0.589118,0.0917874,0.30855,0,0,1,0,0,0,0,0
0.218613,0.479699,0.783964,0.299065,0.575985,0.0595813,0.233271,0,0.27451,0,1,0,0,0,0
0.488147,0.517293,0.848552,0.152648,0.288931,0,0.395911,0,0,1,0,0,0,0,0
0.31475,0.390977,0.743875,0.389408,0.437148,0.0901771,0.330855,0,0,0,0,1,0,0,0
1,0.23609,0,0.221184,0.065666,0.0193237,1,0,0.470588,0,1,0,0,0,0
0.265145,0.604511,0,0.53271,0.602251,0,0.288104,0.504762,0.156863,0,0,0,0,0,1
0.245391,0.321805,0.792873,0.420561,0.624765,0.10467,0.237918,0,0,0,1,0,0,0,0
0.320018,0.378947,0.837416,0.320872,0.485929,0.0933977,0.277881,0,0,0,1,0,0,0,0
